Coordenada_X	Coordenada_Y	Anual
1779363.071	1866667.187	1367.734
1917183.001	1743462.817	1173.866
1644171.332	1691338.389	1278.491
1824790.851	1653488.357	1167.419
1334213.434	1663298.865	1181.332
1732933.903	1549995.126	1001.410
1866684.039	1534184.327	1027.926
1048687.840	1515873.641	1228.853
1355469.936	1500910.748	1172.484
1652439.290	1512303.668	1062.085
1811659.526	1424038.747	1083.234
1500722.671	1414913.085	1101.362
1204360.475	1379653.353	1190.618
1304633.602	1392301.473	1098.009
1754715.295	1878731.546	1510.332
1394579.875	1334039.302	1042.998
1572480.477	1378405.508	1156.135
1598646.180	1321875.158	1144.668
1659615.036	1420473.258	1018.784
1888319.022	1340904.518	1257.934
1585652.001	1312728.756	1067.023
1794456.346	1230585.871	1010.569
1694857.364	1215286.560	993.191
1382474.478	1139880.250	1011.884
1477593.886	1182224.890	1049.461
1598063.924	1167413.685	937.951
1414037.714	1565444.035	1249.710
1632604.569	1102693.077	962.760
1465614.054	1081517.165	964.234
1776723.456	1317054.668	1037.695
1239981.070	1838058.039	1199.366
1303890.596	1861735.780	1163.055
821383.907	1285368.654	1174.166
1245387.033	1282935.191	1151.219
1865499.152	1183148.678	1136.087
1224628.037	1175972.700	1205.206
1784017.633	1152090.774	1110.348
1404004.458	1013690.823	798.245
1187203.975	1115865.204	1198.475
1664009.563	2004230.159	1424.981
2032323.193	1612206.520	1054.153
1594320.615	1041196.484	1013.840
