Coord.X	        Coord.Y
917152.815	1432069.049
917048.635	1432416.355
916935.375	1432734.641
916768.330	1433048.503
916592.683	1433306.538
916398.809	1433619.459
916167.158	1433838.273
915885.283	1434068.507
915516.864	1434430.286
915255.652	1434642.957
915029.094	1434901.720
914794.527	1435112.768
914549.033	1435305.614
914338.873	1435517.737
914122.162	1435740.963
913911.667	1435947.744
913669.296	1436151.210
913446.543	1436356.045
913238.184	1436634.977
913089.413	1436931.490
912917.125	1437240.363
912741.681	1437538.597
912592.085	1437821.764
912487.238	1438120.735
912390.650	1438435.388
912404.451	1438876.777
912434.985	1439236.602
912534.815	1439578.627
912689.334	1439863.335
912851.159	1440147.719
913027.361	1440465.918
913247.048	1440778.578
913483.665	1441052.732
913724.369	1441278.211
913935.378	1441495.004
914103.095	1441794.960
914320.517	1442185.608
914476.745	1442459.481
914614.575	1442785.561
914912.180	1443186.830
915109.020	1443586.388
915222.102	1443885.904
915392.047	1444298.142
915594.703	1444750.298
915774.122	1445182.905
915954.125	1445446.116
916120.908	1445805.571
916355.727	1446182.083
916572.445	1446590.763
916749.904	1446991.926
916862.386	1447418.088
916925.299	1447815.709
916941.873	1448226.612
916974.227	1448573.471
917022.318	1448908.551
917119.740	1449229.933
917276.604	1449568.775
917445.224	1450002.107
917593.127	1450373.260
917724.178	1450722.853
917882.978	1451071.691
917955.709	1451407.358
918065.232	1451711.114
918225.242	1452003.539
918368.237	1452334.588
918536.681	1452645.121
918744.303	1452883.557
918965.672	1453110.332
919177.589	1453377.946
919429.290	1453621.494
919668.740	1453863.103
919910.443	1454102.010
920224.213	1454250.296
920480.612	1454453.386
920748.783	1454650.287
920967.455	1454909.316
921210.591	1455169.526
921415.199	1455400.076
921656.060	1455588.029
921885.538	1455862.561
922102.094	1456089.578
922336.893	1456334.216
922552.820	1456550.675
922825.261	1456623.913
923136.280	1456617.057
923413.170	1456572.240
923798.890	1456514.843
924034.417	1456695.170
924255.641	1456956.783
924473.821	1457207.874
924759.691	1457526.862
925030.603	1457728.986
925284.133	1457924.135
925573.640	1458111.611
925866.152	1458269.340
926139.339	1458431.036
926390.323	1458661.237
926602.905	1458901.926
926727.956	1459218.029
926799.874	1459577.881
926876.750	1459939.986
926944.858	1460278.537
927037.657	1460623.487
927115.129	1460993.580
927201.571	1461314.941
927272.087	1461705.821
927322.831	1462137.705
927347.476	1462594.343
927346.274	1462953.530
927355.683	1463325.332
927348.760	1463671.485
927422.943	1463990.907
927627.139	1464288.404
927829.180	1464553.913
928108.554	1464696.452
928516.368	1464830.647
928831.252	1464919.913
929155.086	1465035.502
929488.300	1465107.454
929777.160	1465171.764
930087.496	1465229.165
930412.102	1465355.387
930692.350	1465436.267
930987.096	1465553.605
931308.730	1465634.491
931630.262	1465715.260
931917.339	1465787.669
932231.684	1465831.515
932538.397	1465832.885
932831.429	1465848.589
933119.996	1465870.031
933417.603	1465917.561
933703.340	1466046.223
933992.249	1466222.978
934235.052	1466440.270
934421.813	1466693.366
934585.196	1466998.866
934667.467	1467331.130
934629.509	1467684.656
934524.438	1468055.933
934488.539	1468403.860
934414.745	1468767.734
934295.146	1469102.431
934220.849	1469420.835
934210.400	1469748.333
934237.696	1470094.912
934468.673	1470318.273
934793.652	1470374.792
935160.084	1470433.866
935452.723	1470441.636
935751.145	1470427.515
936090.800	1470448.194
936402.422	1470449.304
936721.666	1470417.703
937007.325	1470393.760
937285.507	1470367.480
937578.643	1470383.207
937885.352	1470347.121
938179.547	1470266.309
938480.302	1470249.315
938806.426	1470212.008
939112.901	1470170.561
939418.612	1470118.448
939709.313	1470059.232
940002.019	1470069.586
940324.159	1470045.875
940651.452	1469987.046
941065.314	1469951.923
941395.296	1470010.784
941788.092	1469950.305
942054.222	1469849.865
942331.197	1469730.012
942599.389	1469624.081
942977.806	1469529.672
943259.666	1469559.489
943586.009	1469637.264
943894.827	1469820.734
944135.401	1470040.798
944315.666	1470342.579
944442.997	1470655.802
944567.290	1470995.973
