VALUE,TEMP_rec
-0.0688500628,5.00000
-0.0595195852,5.00000
-0.0458470285,5.00000
-0.0181909297,4.00000
-0.0573241189,5.00000
-0.0544733852,5.00000
-0.0596858636,5.00000
0.0197214484,5.00000
0.2769474983,6.00000
0.3478260934,6.00000
0.1379366219,6.00000
-0.0613995492,5.00000
-0.0570550039,5.00000
0.0886843428,2.00000
0.4013271928,6.00000
-0.0143707655,6.00000
0.2153944373,5.00000
0.3074792325,6.00000
0.3849675953,6.00000
0.3779718280,6.00000
0.0357647054,5.00000
0.2134687900,4.00000
0.1168113127,8.00000
-0.0003709395,7.00000
-0.0673800781,5.00000
-0.0566312261,3.00000
0.2025721222,8.00000
0.2187585533,6.00000
0.4023306668,7.00000
-0.0524330437,5.00000
-0.0609440804,5.00000
0.1675441861,5.00000
0.1510416716,7.00000
-0.0704331920,5.00000
-0.0721768737,6.00000
-0.0564795360,3.00000
0.4448848367,6.00000
0.2573337555,6.00000
-0.0596745014,6.00000
-0.0563412681,4.00000
0.1316578388,4.00000
0.2810523212,6.00000
-0.0576185845,5.00000
0.1153798178,1.00000
0.1620064080,2.00000
0.0755303577,5.00000
0.0483420528,5.00000
-0.0815286636,6.00000
0.1778333187,6.00000
0.0214806292,6.00000
-0.0548126735,6.00000
0.2723187804,6.00000
0.2017561197,5.00000
-0.0717099085,5.00000
0.2030512541,7.00000
0.1601521969,6.00000
-0.0414369181,5.00000
0.0842503607,7.00000
0.1706096977,7.00000
0.1007909849,4.00000
0.1225750223,5.00000
0.2939560413,7.00000
0.0749666318,2.00000
0.0914759189,8.00000
0.3487928510,5.00000
0.1011663750,6.00000
-0.0644042119,6.00000
0.1289635748,6.00000
0.0824132860,7.00000
-0.0777720734,5.00000
0.1425957084,7.00000
-0.0541529246,6.00000
0.4328948855,7.00000
0.4059165120,6.00000
0.1025040522,7.00000
-0.0752973929,6.00000
0.1840243787,8.00000
-0.0510873087,5.00000
-0.0908345059,6.00000
0.4084702730,6.00000
0.2153675258,4.00000
-0.0386132449,6.00000
0.0987341776,9.00000
-0.0565422252,6.00000
0.2490281761,7.00000
0.2234793752,9.00000
0.0435313880,5.00000
0.1941859573,8.00000
0.1892311871,5.00000
-0.0518760197,6.00000
0.0919989571,7.00000
0.4677282870,7.00000
-0.0961802155,5.00000
0.1779493094,8.00000
0.1310603172,8.00000
0.4644312859,6.00000
0.2395298481,8.00000
-0.0514502265,4.00000
0.3665705621,7.00000
0.1487481594,7.00000
0.4098400772,8.00000
0.0887573957,1.00000
0.0975693911,1.00000
0.1232154816,8.00000
0.1796316653,8.00000
-0.0696613416,7.00000
0.1219718307,6.00000
0.1699392647,8.00000
0.2110696435,8.00000
0.1696566492,9.00000
-0.0441964790,6.00000
-0.0435911156,5.00000
0.2207314521,4.00000
-0.0538757555,6.00000
0.4528153539,7.00000
0.4405414760,6.00000
0.1977731287,8.00000
0.4719759226,8.00000
0.1805736422,7.00000
0.4122588932,6.00000
-0.0661111698,6.00000
0.4562324583,8.00000
-0.0874520242,6.00000
0.3522342742,8.00000
0.4843192101,8.00000
0.0955729261,8.00000
0.1001525596,8.00000
0.0571876615,6.00000
0.0047709434,6.00000
-0.0531754307,6.00000
-0.0635484904,6.00000
0.5092679858,7.00000
0.1646229923,10.00000
-0.0498828255,5.00000
0.0136663727,7.00000
