ID,NDVI,TEMPERATURA
"18",-0.0678677186,5.00000
"37",0.0105283679,5.00000
"38",-0.0682065189,5.00000
"49",-0.0537185147,5.00000
"63",-0.0630140305,5.00000
"64",-0.0461452194,5.00000
"65",-0.0618299805,5.00000
"66",-0.0527189076,5.00000
"80",-0.0458470285,5.00000
"81",-0.0722564757,5.00000
"82",-0.0528152995,5.00000
"92",-0.0573313050,4.00000
"93",-0.0795327425,5.00000
"94",-0.0041896896,5.00000
"95",0.0598165691,4.00000
"96",0.0600759871,3.00000
"105",0.0751332119,2.00000
"106",0.2992503941,6.00000
"107",-0.0539003871,5.00000
"108",-0.0542876124,5.00000
"121",0.0472930931,3.00000
"122",-0.0578015372,4.00000
"123",0.4496079385,6.00000
"124",-0.0809935853,5.00000
"125",0.0740242228,4.00000
"133",0.0578383803,3.00000
"146",0.3458656073,6.00000
"147",0.0399999991,6.00000
"156",0.3910504282,6.00000
"157",0.3008065224,6.00000
"158",0.0659834668,5.00000
"159",-0.0558450371,5.00000
"168",0.0822214857,2.00000
"169",-0.0632602051,5.00000
"170",-0.0344944373,5.00000
"171",0.3647211194,7.00000
"172",0.1695951521,7.00000
"173",0.3639560044,6.00000
"174",0.2586569786,5.00000
"175",-0.0619201958,6.00000
"193",0.3891420364,7.00000
"194",0.3819354176,7.00000
"195",0.1434456259,7.00000
"203",0.4800982773,6.00000
"204",-0.0620338358,6.00000
"214",-0.0305283554,2.00000
"215",0.2451990247,6.00000
"216",0.3142664730,8.00000
"217",0.3299263418,8.00000
"218",-0.0691302940,6.00000
"227",-0.0579432957,4.00000
"228",0.2216434181,5.00000
"229",0.4028939009,6.00000
"238",-0.0423595086,2.00000
"239",0.1449253559,6.00000
"240",0.2429361343,7.00000
"241",0.4023306668,7.00000
"242",0.4659099281,7.00000
"243",0.3397077024,8.00000
"244",-0.0660011098,6.00000
"245",-0.0735189170,6.00000
"258",0.1487308741,4.00000
"259",0.1126417443,4.00000
"260",0.1247316599,5.00000
"261",0.1318832338,7.00000
"276",-0.0561399497,5.00000
"277",0.4208410978,6.00000
"278",0.0878744200,3.00000
"279",0.1171590537,5.00000
"280",-0.0685961321,5.00000
"291",0.4180333614,6.00000
"292",0.2223992646,5.00000
"293",0.1147681028,3.00000
"294",0.2664155364,6.00000
"295",0.1995044649,6.00000
"296",0.0782608688,6.00000
"297",0.4511069655,7.00000
"298",-0.0705780238,6.00000
"306",0.4246204794,7.00000
"307",0.1942275912,5.00000
"308",0.0801813230,2.00000
"309",0.1342434883,5.00000
"310",0.3664194644,6.00000
"311",0.4532039762,8.00000
"324",-0.0742246509,5.00000
"325",0.1542387605,4.00000
"326",0.1345561892,3.00000
"327",0.1266574115,3.00000
"328",0.0636223108,5.00000
"329",0.3934344947,6.00000
"330",0.4429230690,7.00000
"331",-0.0615807138,6.00000
"340",0.2619417310,7.00000
"341",0.2324405760,6.00000
"342",0.2438866496,7.00000
"343",0.4750837982,7.00000
"344",0.1954044551,7.00000
"353",0.1608042121,8.00000
"354",0.1572922319,2.00000
"355",0.2256720364,2.00000
"356",0.0632688031,4.00000
"357",0.1301676482,4.00000
"358",-0.0548126735,6.00000
"363",0.0439405143,8.00000
"364",0.4317320585,8.00000
"367",0.0131727187,5.00000
"368",0.2030512541,7.00000
"369",0.1181078181,8.00000
"370",0.0359228440,6.00000
"371",0.3563842177,6.00000
"372",0.1601521969,6.00000
"373",0.2141170055,5.00000
"383",0.2867193222,7.00000
"384",0.2741307020,4.00000
"385",0.0030122413,8.00000
"386",-0.0777522176,6.00000
"390",0.0962435529,4.00000
"391",-0.0472440943,5.00000
"392",0.1064310148,5.00000
"393",0.0948563516,5.00000
"394",0.4561126232,7.00000
"405",0.1927109510,8.00000
"406",0.3479445875,8.00000
"417",0.3712179065,7.00000
"418",0.1449014694,5.00000
"419",0.3979739547,7.00000
"420",0.4496027827,7.00000
"421",0.3380779922,6.00000
"426",0.3634423912,6.00000
"427",0.2571069598,6.00000
"428",0.1128776818,4.00000
"429",0.0969866738,4.00000
"430",0.4622718692,6.00000
"431",-0.0661106333,6.00000
"437",0.3357083798,7.00000
"438",0.0413421802,5.00000
"439",0.1023304686,6.00000
"440",0.3850189447,6.00000
"456",0.1139855534,3.00000
"457",0.2572949529,5.00000
"458",0.4093807638,7.00000
"459",0.0934957191,3.00000
"460",0.1321889162,5.00000
"461",0.1047013700,4.00000
"462",-0.0440733284,6.00000
"463",0.0098519949,6.00000
"471",0.2147664130,5.00000
"472",0.3131679594,7.00000
"473",-0.0063343109,6.00000
"474",-0.0365988165,5.00000
"475",-0.0559138432,6.00000
"476",-0.0748028979,6.00000
"483",0.0619322136,8.00000
"484",0.1000409797,5.00000
"485",0.4525181949,7.00000
"486",-0.0748521835,6.00000
"496",0.0018764073,4.00000
"497",0.1046416834,5.00000
"498",0.1880254447,4.00000
"499",0.0018251030,6.00000
"500",0.4084702730,6.00000
"501",-0.0667742565,6.00000
"514",0.2597638369,5.00000
"515",0.1072693467,4.00000
"516",0.0974371061,4.00000
"517",-0.0024920255,7.00000
"518",0.3499043882,6.00000
"529",0.3119894564,8.00000
"530",0.1533316821,8.00000
"531",0.0828341246,6.00000
"532",-0.0305007510,6.00000
"533",0.1465412229,7.00000
"534",0.4206487835,7.00000
"535",-0.0807345584,5.00000
"540",0.1744348109,5.00000
"541",0.0774359256,5.00000
"542",0.0778534487,6.00000
"543",0.1675489247,8.00000
"544",0.1024686247,1.00000
"545",0.0873264670,2.00000
"546",0.1155258194,4.00000
"547",-0.0012467632,5.00000
"548",-0.1005739644,6.00000
"549",0.0521999151,7.00000
"550",0.4069179893,7.00000
"551",0.4680819511,7.00000
"552",0.4674421251,7.00000
"564",0.3781672120,5.00000
"565",0.0791270584,4.00000
"566",0.0887089297,2.00000
"567",0.1871493310,4.00000
"568",0.0457825623,5.00000
"569",0.0426116511,6.00000
"570",0.4449487328,7.00000
"571",0.4508679509,7.00000
"572",0.3986194134,7.00000
"573",-0.0975686759,6.00000
"579",0.0878106505,8.00000
"580",0.3629046082,7.00000
"581",-0.0073756203,5.00000
"582",-0.0757915750,6.00000
"583",-0.0707404986,6.00000
"584",-0.0518760197,6.00000
"585",-0.0905711800,6.00000
"586",0.3235712945,7.00000
"587",0.4472732842,7.00000
"588",0.4213643968,7.00000
"596",0.1117297262,8.00000
"597",0.1335141361,8.00000
"598",-0.0368799865,6.00000
"599",0.4084863365,6.00000
"609",0.1311872900,8.00000
"610",0.3800527453,8.00000
"611",-0.0450052023,5.00000
"612",-0.0173230469,5.00000
"613",-0.0232667886,5.00000
"614",0.0266526565,6.00000
"615",-0.0708358362,6.00000
"616",0.2625140548,6.00000
"625",0.5249046683,7.00000
"626",0.3092036545,7.00000
"627",0.0915060788,7.00000
"628",-0.0596229173,5.00000
"629",0.1089492515,8.00000
"630",0.1675229222,8.00000
"633",0.0944881886,9.00000
"634",0.4767924547,7.00000
"635",0.1719080508,8.00000
"636",0.0024875621,6.00000
"637",0.1291986555,8.00000
"638",0.3771247566,6.00000
"639",0.3497407138,6.00000
"648",0.1014731824,8.00000
"649",0.1060029045,9.00000
"650",0.1435427219,9.00000
"651",-0.0249817558,7.00000
"652",0.2773423195,5.00000
"653",0.1796316653,8.00000
"661",-0.0463165380,6.00000
"662",0.2054192871,2.00000
"663",0.1747963429,4.00000
"664",-0.0805989578,6.00000
